# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
A;Atilde;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
A;B;-13 (UC z2:270.6,z3:351.1,z4:511.2,z5:620.3,z6:723,z7:772.4,z8:772.4) [cap:min=270.6→257.5]
A;C;-89 (UC z2:412.9,z3:412.9,z4:412.9,z5:487.5,z6:625.3,z7:835.1,z8:1044.9)
A;Ccedilla;-89 (UC z2:412.7,z3:412.7,z4:412.7,z5:487.5,z6:625.3,z7:835.1,z8:1044.9)
A;D;10 (UC z2:247.1,z3:361.2,z4:513.6,z5:617.3,z6:720.1,z7:797.2,z8:797.2) [cap:min=247.1→257.5]
A;E;226 (UC z2:32,z3:241.8,z4:451.6,z5:619.6,z6:723.5,z7:824.3,z8:766.2) [cap:min=32→257.5]
A;Eacute;226 (UC z2:32,z3:241.8,z4:451.6,z5:619.6,z6:723.5,z7:824.3,z8:766.2) [cap:min=32→257.5]
A;Ecircumflex;226 (UC z2:32,z3:241.8,z4:451.6,z5:619.6,z6:723.5,z7:824.3,z8:766.2) [cap:min=32→257.5]
A;Edieresis;226 (UC z2:32,z3:241.8,z4:451.6,z5:619.6,z6:723.5,z7:824.3,z8:766.2) [cap:min=32→257.5]
A;Egrave;226 (UC z2:32,z3:241.8,z4:451.6,z5:619.6,z6:723.5,z7:824.3,z8:766.2) [cap:min=32→257.5]
A;F;177 (UC z2:81,z3:290.8,z4:500.6,z5:619.3,z6:723.4,z7:821.3,z8:765.8) [cap:min=81→257.5]
A;G;-92 (UC z2:421.1,z3:421.1,z4:421.1,z5:487.6,z6:622,z7:831.8,z8:1041.6)
A;H;173 (UC z2:85,z3:294.8,z4:504.6,z5:622,z6:729.9,z7:831.8,z8:801.5) [cap:min=85→257.5]
A;I;177 (UC z2:81,z3:290.8,z4:500.6,z5:622,z6:729.9,z7:831.7,z8:798.4) [cap:min=81→257.5]
A;Icircumflex;177 (UC z2:81,z3:290.8,z4:500.6,z5:622,z6:729.9,z7:831.7,z8:798.4) [cap:min=81→257.5]
A;Idieresis;177 (UC z2:81,z3:290.8,z4:500.6,z5:622,z6:729.9,z7:831.7,z8:798.4) [cap:min=81→257.5]
A;Igrave;177 (UC z2:81,z3:290.8,z4:500.6,z5:622,z6:729.9,z7:831.7,z8:798.4) [cap:min=81→257.5]
A;J;25 (UC z2:-16.7,z3:193.1,z4:402.9,z5:612.7,z6:710.9,z7:802.7,z8:727.7)
A;uni004A0301;188 (mixed→LC z2:-16.7,z3:193.1,z4:402.9,z5:612.7,z6:710.9,z7:802.7,z8:727.7) [cap:min=-16.7→171.3]
A;K;154 (UC z2:104,z3:313.8,z4:514.5,z5:615.8,z6:716.8,z7:816.6,z8:796.9) [cap:min=104→257.5]
A;L;177 (UC z2:81,z3:290.8,z4:500.6,z5:622,z6:729.9,z7:831.7,z8:798.4) [cap:min=81→257.5]
A;M;-68 (UC z2:343.8,z3:343.8,z4:513.4,z5:622.8,z6:731.6,z7:764.6,z8:764.6)
A;N;-74 (UC z2:343.6,z3:343.6,z4:511.9,z5:618.5,z6:723.6,z7:791.6,z8:791.6)
